fold,ind,subject_id,ve_loso_cv,ve_ten_fold_cv
4,111,P_4122,96.142266105837,99.3937573786757
4,112,P_4123,97.2277941142752,99.3937573786757
4,113,P_4124,97.6849768647278,99.3937573786757
4,114,P_4126,98.019928263275,99.3937573786757
5,115,P_4127,91.5484973999006,99.5067660726026
5,116,P_4128,96.4888903387743,99.5067660726026
5,117,P_4129,95.7233250344519,99.5067660726026
5,118,P_4130,97.725164100538,99.5067660726026
5,119,P_4131,96.5353145383592,99.5067660726026
5,120,P_4132,98.8492603768515,99.5067660726026
5,121,P_4134,95.7811212977564,99.5067660726026
5,122,P_4135,91.0681360068479,99.5067660726026
5,123,P_4136,94.9709644907386,99.5067660726026
5,124,P_4137,96.2969220538512,99.5067660726026
5,125,P_4138,96.9442496185921,99.5067660726026
5,126,P_4139,96.5270331022071,99.5067660726026
5,127,P_4140,94.012029028664,99.5067660726026
5,128,P_4141,97.9927507752406,99.5067660726026
5,129,P_4142,95.3024024779785,99.5067660726026
5,130,P_4143,94.877921550161,99.5067660726026
5,131,P_4144,98.2992886629577,99.5067660726026
5,132,P_4145,97.3861576443919,99.5067660726026
5,133,P_4146,98.3176465160381,99.5067660726026
5,134,P_4147,92.4375876277497,99.5067660726026
5,135,P_4148,97.1571043275909,99.5067660726026
5,136,P_4149,97.5356212406631,99.5067660726026
5,137,P_4150,93.7986954590224,99.5067660726026
5,138,P_4151,97.1246766730143,99.5067660726026
5,139,P_4152,96.5298730045331,99.5067660726026
5,140,P_4155,96.4104241658331,99.5067660726026
5,141,P_4156,96.053177161045,99.5067660726026
5,142,P_4157,96.3576226119523,99.5067660726026
6,143,P_4158,94.549028040302,99.4258361588818
6,144,P_4160,94.6203336767636,99.4258361588818
6,145,P_4161,94.630688657267,99.4258361588818
6,146,P_4162,98.327513532636,99.4258361588818
6,147,P_4163,99.0534147862135,99.4258361588818
6,148,P_4164,90.8375372301412,99.4258361588818
6,149,P_4165,97.7467942761425,99.4258361588818
6,150,P_4166,94.3130864676209,99.4258361588818
6,151,P_4167,96.8434368459016,99.4258361588818
6,152,P_4168,97.4361202009413,99.4258361588818
6,153,P_4169,94.9384024877504,99.4258361588818
6,154,P_4170,96.988071981936,99.4258361588818
6,155,P_4171,95.785375274356,99.4258361588818
6,156,P_4172,97.6471528931928,99.4258361588818
6,157,P_4173,95.6314667216681,99.4258361588818
6,158,P_4174,98.3476971722401,99.4258361588818
6,159,P_4175,97.5600046247997,99.4258361588818
6,160,P_4176,94.0824683110774,99.4258361588818
6,161,P_4177,97.6673384361472,99.4258361588818
6,162,P_4178,95.6240232595732,99.4258361588818
6,163,P_4179,95.7981905723221,99.4258361588818
6,164,P_4180,91.203698662081,99.4258361588818
6,165,P_4182,92.7311634109776,99.4258361588818
6,166,P_4184,97.8696172578831,99.4258361588818
6,167,P_4185,92.1967856969332,99.4258361588818
6,168,P_4186,92.3054868035594,99.4258361588818
6,169,P_4187,95.6031471435127,99.4258361588818
6,170,P_4188,94.7016965300327,99.4258361588818
7,171,P_4190,96.899266399012,99.5264642165643
7,172,P_4191,96.2245108481061,99.5264642165643
7,173,P_4192,92.0820469829391,99.5264642165643
7,174,P_4193,98.1987488099369,99.5264642165643
7,175,P_4194,94.8275217110554,99.5264642165643
7,176,P_4195,92.41130938588,99.5264642165643
7,177,P_4196,98.5388394147113,99.5264642165643
7,178,P_4197,96.1376510497502,99.5264642165643
7,179,P_4198,97.7219515134527,99.5264642165643
7,180,P_4199,98.5770285053823,99.5264642165643
7,181,P_4200,97.8940741933554,99.5264642165643
7,182,P_4201,98.9755894631008,99.5264642165643
7,183,P_4202,97.3523750684559,99.5264642165643
7,184,P_4203,97.5125323574938,99.5264642165643
7,185,P_4204,97.6602846408723,99.5264642165643
7,186,P_4205,98.2448124386494,99.5264642165643
7,187,P_4206,93.7736795403345,99.5264642165643
7,188,P_4207,97.6519613347598,99.5264642165643
7,189,P_4208,97.4429943693663,99.5264642165643
7,190,P_4209,95.0111149531672,99.5264642165643
7,191,P_4211,96.6246232750888,99.5264642165643
7,192,P_4212,97.1836076434122,99.5264642165643
7,193,P_4213,94.984539136284,99.5264642165643
7,194,P_4214,88.9333178248085,99.5264642165643
7,195,P_4215,94.979886444531,99.5264642165643
7,196,P_4216,97.1761598568438,99.5264642165643
7,197,P_4217,95.9673116160394,99.5264642165643
7,198,P_4218,98.9543528942013,99.5264642165643
7,199,P_4219,94.1807096144128,99.5264642165643
8,200,P_4220,96.6732702173223,99.4119543197025
8,201,P_4221,97.4225780045134,99.4119543197025
8,202,P_4222,88.8226179852765,99.4119543197025
8,203,P_4223,94.4384138421349,99.4119543197025
8,204,P_4224,95.8306343457614,99.4119543197025
8,205,P_4225,96.600797384396,99.4119543197025
8,206,P_4226,96.6019674864694,99.4119543197025
8,207,P_4227,92.5828315388162,99.4119543197025
8,208,P_4228,94.1200888754831,99.4119543197025
8,209,P_4229,95.1251550110318,99.4119543197025
8,210,P_4230,97.915928474202,99.4119543197025
8,211,P_4231,96.148637273424,99.4119543197025
8,212,P_4232,97.7446803033948,99.4119543197025
8,213,P_4233,98.0779400898953,99.4119543197025
8,214,P_4235,95.6165802309516,99.4119543197025
8,215,P_4236,98.4150014649976,99.4119543197025
8,216,P_4237,98.5448085262144,99.4119543197025
8,217,P_4238,94.0275272095689,99.4119543197025
8,218,P_4240,97.0701908621347,99.4119543197025
8,219,P_4241,94.0330765206924,99.4119543197025
8,220,P_4242,95.9555452066499,99.4119543197025
8,221,P_4243,96.5493343002418,99.4119543197025
8,222,P_4244,95.4128327491562,99.4119543197025
8,223,P_4245,94.0124179516238,99.4119543197025
8,224,P_4246,85.3093423426307,99.4119543197025
8,225,P_4247,96.7129214435302,99.4119543197025
8,226,P_4248,98.6553827991056,99.4119543197025
8,227,P_4249,93.8535920991624,99.4119543197025
9,228,P_4250,97.9824413084744,99.5185278524327
9,229,P_4252,94.2644604143685,99.5185278524327
9,230,P_4253,96.3738111171764,99.5185278524327
9,231,P_4254,97.6988148505923,99.5185278524327
9,232,P_4255,99.4588513798983,99.5185278524327
9,233,P_4256,98.4487061417571,99.5185278524327
9,234,P_4257,94.0466367644256,99.5185278524327
9,235,P_4258,97.0102008899716,99.5185278524327
9,236,P_4259,92.2201809243952,99.5185278524327
9,237,P_4260,95.0370608408388,99.5185278524327
9,238,P_4262,97.8962650970846,99.5185278524327
9,239,P_4263,95.9472466459674,99.5185278524327
9,240,P_4264,92.0220801789129,99.5185278524327
9,241,P_4265,96.9026537448651,99.5185278524327
9,242,P_4266,93.6574620917182,99.5185278524327
9,243,P_4267,92.8993692837867,99.5185278524327
9,244,P_4268,97.2779476846188,99.5185278524327
9,245,P_4269,95.3184194832246,99.5185278524327
9,246,P_4272,95.5178818721494,99.5185278524327
9,247,P_4273,95.33489343051,99.5185278524327
9,248,P_4275,98.7351849908722,99.5185278524327
9,249,P_4276,98.4732714778384,99.5185278524327
9,250,P_4277,95.6497196272544,99.5185278524327
9,251,P_4278,96.8960566747948,99.5185278524327
9,252,P_4279,97.4744085299321,99.5185278524327
9,253,P_4280,96.0814083034144,99.5185278524327
9,254,P_4281,97.5887961898629,99.5185278524327
9,255,P_4282,97.0767930066953,99.5185278524327
10,256,P_4283,93.5318509967345,99.5022479319235
10,257,P_4284,98.5364634240125,99.5022479319235
10,258,P_4285,97.0318372313371,99.5022479319235
10,259,P_4286,98.5937654988248,99.5022479319235
10,260,P_4287,96.9023139795063,99.5022479319235
10,261,P_4288,92.3731774929971,99.5022479319235
10,262,P_4289,96.9325143059522,99.5022479319235
10,263,P_4290,97.9516515500943,99.5022479319235
10,264,P_4291,92.9043012163149,99.5022479319235
10,265,P_4292,95.6288504151502,99.5022479319235
10,266,P_4294,97.751830598273,99.5022479319235
10,267,P_4296,93.3132674386873,99.5022479319235
10,268,P_4297,98.3780420359862,99.5022479319235
10,269,P_4298,98.890834832111,99.5022479319235
10,270,P_4299,95.1419430889391,99.5022479319235
10,271,P_4300,96.1660451560542,99.5022479319235
10,272,P_4301,95.5817600716881,99.5022479319235
10,273,P_4302,98.123834558835,99.5022479319235
10,274,P_4303,97.6626112235493,99.5022479319235
10,275,P_4304,97.1414093134221,99.5022479319235
10,276,P_4305,95.1787963615501,99.5022479319235
10,277,P_4306,91.5456596372865,99.5022479319235
10,278,P_4307,93.841214405598,99.5022479319235
10,279,P_4308,94.6915128930152,99.5022479319235
10,280,P_4309,98.5581040886073,99.5022479319235
10,281,P_4310,96.6118193635849,99.5022479319235
10,282,P_4313,92.9559633143705,99.5022479319235
10,283,P_4314,92.166251072126,99.5022479319235
10,284,P_4315,97.1413435276121,99.5022479319235
